,Unnamed: 0,Address,Beds,Bath,Size_sqft,Lot_Size,Agent_Name ,Agent_Company,Price,Walk_Score,Transit_Score,Bike_Score
22,22,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2.0,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49.0,42.0,54.0
23,23,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2.0,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49.0,35.0,44.0
24,24,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2.0,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81.0,58.0,73.0
25,25,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3.0,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45.0,32.0,48.0
26,26,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72.0,41.0,52.0
27,27,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2.0,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23.0,53.0,63.0
28,28,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2.0,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36.0,29.0,41.0
29,29,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2.0,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71.0,26.0,74.0
30,30,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2.0,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53.0,33.0,44.0
31,31,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2.0,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52.0,29.0,48.0
32,32,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3.0,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67.0,39.0,57.0
33,33,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2.0,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30.0,56.0,68.0
34,34,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3.0,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38.0,31.0,54.0
35,35,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2.0,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76.0,52.0,62.0
36,36,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2.0,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44.0,32.0,55.0
37,37,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2.0,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41.0,54.0,60.0
38,38,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2.0,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40.0,31.0,52.0
39,39,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4.0,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82.0,38.0,58.0
40,40,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2.0,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66.0,41.0,59.0
41,41,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2.0,"1,886",0,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30.0,52.0,64.0
42,42,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57.0,60.0,77.0
43,43,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3.0,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82.0,36.0,69.0
44,44,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3.0,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27.0,37.0,51.0
45,45,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2.0,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49.0,42.0,54.0
46,46,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2.0,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49.0,35.0,44.0
47,47,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2.0,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81.0,58.0,73.0
48,48,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3.0,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45.0,32.0,48.0
49,49,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72.0,41.0,52.0
50,50,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2.0,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23.0,53.0,63.0
51,51,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2.0,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36.0,29.0,41.0
52,52,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2.0,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71.0,26.0,74.0
53,53,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2.0,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53.0,33.0,44.0
54,54,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2.0,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52.0,29.0,48.0
55,55,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3.0,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67.0,39.0,57.0
56,56,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2.0,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30.0,56.0,68.0
57,57,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3.0,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38.0,31.0,54.0
58,58,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2.0,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76.0,52.0,62.0
59,59,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2.0,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44.0,32.0,55.0
60,60,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2.0,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41.0,54.0,60.0
61,61,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2.0,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40.0,31.0,52.0
62,62,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4.0,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82.0,38.0,58.0
63,63,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2.0,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66.0,41.0,59.0
64,64,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2.0,"1,886",0,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30.0,52.0,64.0
65,65,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57.0,60.0,77.0
66,66,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3.0,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82.0,36.0,69.0
67,67,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3.0,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27.0,37.0,51.0
68,68,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2.0,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49.0,42.0,54.0
69,69,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2.0,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49.0,35.0,44.0
70,70,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2.0,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81.0,58.0,73.0
71,71,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3.0,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45.0,32.0,48.0
72,72,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72.0,41.0,52.0
73,73,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2.0,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23.0,53.0,63.0
74,74,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2.0,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36.0,29.0,41.0
75,75,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2.0,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71.0,26.0,74.0
76,76,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2.0,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53.0,33.0,44.0
77,77,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2.0,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52.0,29.0,48.0
78,78,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3.0,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67.0,39.0,57.0
79,79,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2.0,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30.0,56.0,68.0
80,80,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3.0,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38.0,31.0,54.0
81,81,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2.0,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76.0,52.0,62.0
82,82,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2.0,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44.0,32.0,55.0
83,83,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2.0,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41.0,54.0,60.0
84,84,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2.0,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40.0,31.0,52.0
85,85,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4.0,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82.0,38.0,58.0
86,86,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2.0,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66.0,41.0,59.0
87,87,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2.0,"1,886",0,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30.0,52.0,64.0
88,88,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57.0,60.0,77.0
89,89,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3.0,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82.0,36.0,69.0
90,90,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3.0,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27.0,37.0,51.0
91,91,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2.0,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49.0,42.0,54.0
92,92,"5615 Greeley PL, Fremont, Alameda County, CA, 94538",3,2.0,"1,108",0.137 ac,Cindy Liu ,Starriver Inc,"$1,298,000 USD",49.0,35.0,44.0
93,93,"38566 Acacia St, Fremont, Alameda County, CA, 94536",3,2.0,"1,492",0.15 ac,Jill Denton ,"eXp Realty of California, Inc","$1,449,000 USD",81.0,58.0,73.0
94,94,"5349 Audubon Park CT, Fremont, Alameda County, CA, 94538",4,3.0,"1,581",0.206 ac,Scott Perry ,KW Bay Area Estates,"$1,575,000 USD",45.0,32.0,48.0
95,95,"4103 Tawny TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,549",2.34 ac,Terri Brown ,Compass,"$1,198,000 USD",72.0,41.0,52.0
96,96,"762 Ridgeview Ter, Fremont, Alameda County, CA, 94536",2,2.0,"1,001",0.09 ac,Marie Rice ,Legacy Real Estate & Assoc.,"$998,500 USD",23.0,53.0,63.0
97,97,"4839 Sterling Dr, Fremont, Alameda County, CA, 94536",3,2.0,"1,132",0.213 ac,Elena Garcia ,Intero Real Estate Services,"$1,198,000 USD",36.0,29.0,41.0
98,98,"37900 2nd Street, Fremont, Alameda County, CA, 94536",3,2.0,"1,364",0.14 ac,Timothy Fletcher ,Keller Williams Benchmark,"$1,364,999 USD",71.0,26.0,74.0
99,99,"42930 Corte Habana, Fremont, Alameda County, CA, 94539",3,2.0,"1,242",906 ac,Parveen Singh ,Redfin,"$950,000 USD",53.0,33.0,44.0
100,100,"4825 Valpey Park Ave, Fremont, Alameda County, CA, 94538",4,2.0,"1,551",0.135 ac,Kim Ott ,Compass,"$1,488,888 USD",52.0,29.0,48.0
101,101,"3850 Great Salt Lake CT, Fremont, Alameda County, CA, 94555",3,3.0,"1,335",0.092 ac,Jose Reyes ,Elite Realty Services,"$1,199,000 USD",67.0,39.0,57.0
102,102,"38912 Cherry Glen Cmn, Fremont, Alameda County, CA, 94536",2,2.0,"1,168",0.52 ac,Steve Pierce ,Keller Williams Benchmark,"$749,000 USD",30.0,56.0,68.0
103,103,"4340 Peregrine Way, Fremont, Alameda County, CA, 94555",4,3.0,"2,474",0.138 ac,Farid Nasraty ,Alliance Bay Realty,"$2,225,000 USD",38.0,31.0,54.0
104,104,"38618 Country Cmn, Fremont, Alameda County, CA, 94536",2,2.0,723,0.81 ac,Jaideep Singh ,Keller Williams Benchmark,"$448,000 USD",76.0,52.0,62.0
105,105,"4182 Isola Dr, Fremont, Alameda County, CA, 94555",4,2.0,"2,008",0.27 ac,Pamela Tran ,Redfin,"$1,888,000 USD",44.0,32.0,55.0
106,106,"1540 Skelton Ct, Fremont, Alameda County, CA, 94536",4,2.0,"2,325",0.251 ac,Kim Ott ,Compass,"$1,798,888 USD",41.0,54.0,60.0
107,107,"4990 Everglades Park Dr., Fremont, Alameda County, CA, 94538",3,2.0,"1,180",0.15 ac,Martin Y Lu ,Alliance Bay Realty,"$1,080,000 USD",40.0,31.0,52.0
108,108,"4376 Hyde Cmn, Fremont, Alameda County, CA, 94538",4,4.0,"1,737",0.25 ac,Tim S. Wang ,Legacy Real Estate & Assoc.,"$1,399,800 USD",82.0,38.0,58.0
109,109,"4350 Burke Way, Fremont, Alameda County, CA, 94536",3,2.0,"1,148",0.14 ac,Sanjiv Nayyar ,Redfin,"$1,299,000 USD",66.0,41.0,59.0
110,110,"2359 Halogen Cmn 211, Fremont, Alameda County, CA, 94539",2,2.0,"1,886",0,Ted Chen ,"eXp Realty of California, Inc","$1,299,000 USD",30.0,52.0,64.0
111,111,"38985 Gar TER, Fremont, Alameda County, CA, 94536",3,3.0,"1,400",0.023 ac,John Chung ,Keller Williams Palo Alto,"$1,150,000 USD",57.0,60.0,77.0
112,112,"3878 Scamman Ct, Fremont, Alameda County, CA, 94538",4,3.0,"1,695",0.12 ac,Rick Geha ,"eXp Realty of California, Inc","$1,789,888 USD",82.0,36.0,69.0
113,113,"480 Chardonnay Dr, Fremont, Alameda County, CA, 94539",4,3.0,"2,262",0.15 ac,Bobby Nijjar ,Legacy Real Estate & Assoc.,"$1,999,000 USD",27.0,37.0,51.0
114,114,"3587 Wyndham Dr, Fremont, Alameda County, CA, 94536",4,2.0,"1,714",0.15 ac,Louis Heystek ,Compass,"$1,749,000 USD",49.0,42.0,54.0
115,115,"2456 W Bayshore RD 5, Palo Alto, Santa Clara County, CA, 94303",2,2.0,906,0,Ming Wei Chien ,Keller Williams Realty - Cupertino,"$899,000 USD",27.0,18.0,81.0
116,116,"480 E Okeefe ST 313, East Palo Alto, San Mateo County, CA, 94303",1,1.0,537,0,George Chopoff ,RE/MAX Star Properties,"$450,000 USD",62.0,0.0,80.0
117,117,"231-241 Churchill AVE, Palo Alto, Santa Clara County, CA, 94301",8,4.0,"4,474",0.459 ac,Vivian Y. Jiang ,KW Santa Clara Valley Inc,"$14,988,000 USD",65.0,40.0,97.0
118,118,"765 San Antonio Road #19 , Palo Alto, Santa Clara County, CA, 94303",2,2.0,"1,030",0,Josh Davis ,Davis & Company Realtors,"$950,000 USD",72.0,31.0,97.0
119,119,"919 Amarillo AVE, Palo Alto, Santa Clara County, CA, 94303",6,5.0,"3,456",0.169 ac,Lan L. Bowling ,Keller Williams Palo Alto,"$5,498,000 USD",47.0,23.0,90.0
120,120,"2477 Aztec WAY, Palo Alto, Santa Clara County, CA, 94303",4,2.0,"1,688",0.154 ac,Tim Proschold ,Christie's International Real Estate Sereno,"$3,298,000 USD",40.0,19.0,86.0
121,121,"766 Bryant ST, Palo Alto, Santa Clara County, CA, 94301",3,2.0,"1,223",0,Riette Fallant ,KW Peninsula Estates,"$1,650,000 USD",98.0,55.0,100.0
122,122,"1885 Guinda Street , Palo Alto, Santa Clara County, CA, 94303",4,3.0,"2,070",0,Margot Lockwood & Ricky Flores ,Golden Gate Sotheby's International Realty,"$3,999,000 USD",40.0,25.0,89.0
123,123,"702 Garland Dr. , Palo Alto, Santa Clara County, CA, 94303",3,2.0,"1,976",0,Kathleen Pasin ,Christie's International Real Estate Sereno,"$3,498,000 USD",67.0,25.0,99.0
124,124,"151 Melville AVE, Palo Alto, Santa Clara County, CA, 94301",6,5.0,"3,264",0.23 ac,Monica & Mandy Group ,Compass,"$4,750,000 USD",89.0,49.0,100.0
125,125,"700 Ellsworth Place, Palo Alto, Santa Clara County, CA, 94303",1,2.0,0,0.102 ac,Josh Rubin ,Compass,"$1,498,000 USD",74.0,28.0,99.0
126,126,"2260 ralmar, East Palo Alto, San Mateo County, CA, 94303",4,2.0,"1,200",0.057 ac,Vana Charan ,"eXp Realty of California, Inc","$850,000 USD",64.0,0.0,69.0
127,127,"4250 El Camino Real C322, Palo Alto, Santa Clara County, CA, 94306",2,1.0,679,0,Michael Mendenhall ,Keller Williams San Jose Gateway,"$699,888 USD",66.0,46.0,92.0
128,128,"231-241 Churchill AVE, Palo Alto, Santa Clara County, CA, 94301",8,5.0,"4,474",0.459 ac,Vivian Y. Jiang ,KW Santa Clara Valley Inc,"$14,988,000 USD",65.0,40.0,97.0
129,129,"1005 Parkinson AVE, Palo Alto, Santa Clara County, CA, 94301",6,5.0,"4,103",0.169 ac,Leannah and Laurel ,Christie's International Real Estate Sereno,"$6,298,000 USD",44.0,35.0,79.0
130,130,"555 Byron St 101, Palo Alto, Santa Clara County, CA, 94301",3,3.0,"1,810",0.03 ac,Sheila Zarekari ,Keller Williams Realty,"$1,450,000 USD",94.0,52.0,93.0
131,131,"725 Loma Verde Ave #E, Palo Alto, Santa Clara County, CA, 94303",2,2.5,"1,384",0,Katy Thielke Straser ,Compass,"$1,679,000 USD",68.0,25.0,98.0
132,132,"2736 Georgetown blvd, East Palo Alto, San Mateo County, CA, 94303",6,4.0,"2,090",0.137 ac,Alvin Prakash ,Intero Real Estate Services,"$1,198,999 USD",48.0,0.0,59.0
133,133,"440 Cesano CT 314, Palo Alto, Santa Clara County, CA, 94306",2,2.0,"1,550",0,Monica & Mandy Group ,Compass,"$1,329,000 USD",75.0,47.0,94.0
134,134,"3517 Ramona ST, Palo Alto, Santa Clara County, CA, 94306",3,2.0,"1,137",0.161 ac,Lan L. Bowling ,Keller Williams Palo Alto,"$3,098,000 USD",57.0,38.0,97.0
135,135,"2216 Clarke Ave, East Palo Alto, San Mateo County, CA, 94303",6,9.0,"5,920",0.21 ac,Rajni Gupta ,REALTY EXPERTS,"$4,200,000 USD",67.0,0.0,77.0
136,136,"674 Webster St , Palo Alto, Santa Clara County, CA, 94301",3,2.5,"1,552",0,Tim Anderson ,Christie's International Real Estate Sereno,"$1,995,000 USD",91.0,51.0,94.0
137,137,"480 E O'Keefe ST 217, East Palo Alto, Santa Clara County, CA, 94303",1,1.0,613,0,Colleen Foraker ,Compass,"$475,000 USD",0.0,0.0,0.0
138,138,"3389 Saint Michael DR, Palo Alto, Santa Clara County, CA, 94306",4,2.0,"1,367",0.151 ac,Molly Foy Rich ,Midtown Realty,"$3,295,000 USD",37.0,25.0,90.0
139,139,"2456 W Bayshore RD 5, Palo Alto, Santa Clara County, CA, 94303",2,2.0,906,0,Ming Wei Chien ,Keller Williams Realty - Cupertino,"$899,000 USD",27.0,18.0,81.0
140,140,"480 E Okeefe ST 313, East Palo Alto, San Mateo County, CA, 94303",1,1.0,537,0,George Chopoff ,RE/MAX Star Properties,"$450,000 USD",62.0,0.0,80.0
141,141,"231-241 Churchill AVE, Palo Alto, Santa Clara County, CA, 94301",8,4.0,"4,474",0.459 ac,Vivian Y. Jiang ,KW Santa Clara Valley Inc,"$14,988,000 USD",65.0,40.0,97.0
142,142,"765 San Antonio Road #19 , Palo Alto, Santa Clara County, CA, 94303",2,2.0,"1,030",0,Josh Davis ,Davis & Company Realtors,"$950,000 USD",72.0,31.0,97.0
143,143,"919 Amarillo AVE, Palo Alto, Santa Clara County, CA, 94303",6,5.0,"3,456",0.169 ac,Lan L. Bowling ,Keller Williams Palo Alto,"$5,498,000 USD",47.0,23.0,90.0
144,144,"2477 Aztec WAY, Palo Alto, Santa Clara County, CA, 94303",4,2.0,"1,688",0.154 ac,Tim Proschold ,Christie's International Real Estate Sereno,"$3,298,000 USD",40.0,19.0,86.0
145,145,"766 Bryant ST, Palo Alto, Santa Clara County, CA, 94301",3,2.0,"1,223",0,Riette Fallant ,KW Peninsula Estates,"$1,650,000 USD",98.0,55.0,100.0
